,聚类种类,IsActiveStatus,IsActiveAssetStage,CrCardAssetStage,Exited
252,2,5,6,0,1
253,1,2,2,9,1
254,1,2,2,2,1
255,1,0,2,9,1
256,1,0,2,9,1
257,1,1,2,9,1
258,1,0,2,9,1
259,2,3,8,9,1
260,1,1,0,0,1
261,1,2,0,6,1
262,1,2,0,6,1
263,2,3,6,6,1
264,1,0,2,2,1
265,2,4,8,9,1
266,2,4,8,9,1
267,1,0,0,6,1
268,1,1,0,0,1
269,1,1,2,9,1
270,1,1,0,6,1
271,1,1,1,2,1
272,2,4,8,2,1
273,2,3,6,6,1
274,2,4,6,6,1
275,2,4,8,9,1
276,2,3,6,0,1
277,2,5,8,9,1
278,1,1,2,2,1
279,1,0,2,9,1
280,1,0,2,2,1
281,1,0,2,9,1
282,2,5,8,2,1
283,1,0,0,6,1
284,1,2,2,9,1
285,1,2,1,7,1
286,2,4,7,7,1
287,1,0,1,2,1
288,1,0,2,9,1
289,1,2,2,2,1
290,1,1,2,9,1
291,1,1,2,9,1
292,1,2,2,9,1
293,2,5,8,9,1
294,2,3,8,2,1
295,1,1,0,0,1
296,1,0,0,6,1
297,1,0,1,7,1
298,2,4,8,9,1
299,1,0,0,6,1
300,1,2,2,2,0
301,2,3,6,6,1
302,2,3,7,2,0
303,1,1,1,7,0
304,1,2,2,9,0
305,1,2,0,0,0
306,2,3,6,6,0
307,2,5,6,6,0
308,1,2,0,6,0
309,1,1,1,2,1
310,1,2,0,6,0
311,1,1,1,7,0
312,1,0,1,2,0
313,1,0,2,9,1
314,1,1,2,9,1
315,1,1,0,6,0
316,2,3,6,0,0
317,1,1,2,9,0
318,2,4,6,6,1
319,2,4,8,2,1
320,2,5,7,7,0
321,2,3,8,9,0
322,1,0,0,6,0
323,1,0,0,6,1
324,2,4,7,2,1
325,1,2,0,6,0
326,1,1,2,9,1
327,1,2,0,0,0
328,2,5,8,9,0
329,1,2,0,6,0
330,2,5,6,6,0
331,1,1,0,6,1
332,2,3,8,9,0
333,2,3,7,2,0
334,2,5,8,2,0
335,2,5,8,9,0
336,1,0,1,7,0
337,1,0,2,2,0
338,2,5,8,9,0
339,1,0,0,6,0
340,2,4,8,2,1
341,2,5,7,7,0
342,1,0,2,2,0
343,2,4,6,6,0
344,2,3,8,9,0
345,2,4,8,2,0
346,1,2,0,6,0
347,2,5,6,6,0
348,2,5,6,6,0
349,2,5,8,2,0
350,2,3,8,2,0
351,1,1,0,6,0
352,2,3,8,2,0
353,2,5,8,9,0
354,2,3,6,6,0
355,2,5,8,9,0
356,2,4,6,6,0
357,2,4,8,9,1
358,2,3,8,9,0
359,1,1,2,9,1
360,2,5,7,7,0
361,2,3,8,9,1
362,1,2,2,9,0
363,2,4,8,9,0
364,2,5,8,2,0
365,1,0,0,0,0
366,1,0,2,9,0
367,2,5,8,2,0
368,1,1,0,0,0
369,2,4,8,2,1
370,2,3,8,2,0
371,1,2,2,9,0
372,1,0,0,6,1
373,2,5,7,7,0
374,1,0,2,9,0
375,2,5,6,6,0
376,1,2,2,9,0
377,1,0,2,9,0
378,2,4,6,0,0
379,2,5,8,2,0
380,2,5,7,7,0
381,2,5,6,6,0
382,2,4,7,7,0
383,2,5,6,6,0
384,2,5,7,2,0
385,1,0,0,6,0
386,2,4,6,6,0
387,2,4,8,9,0
388,1,0,0,6,0
389,2,5,8,9,0
390,1,0,0,6,0
391,2,5,8,9,0
392,2,5,7,7,0
393,1,2,2,9,0
394,2,5,8,9,0
395,1,2,0,6,0
396,2,4,8,9,1
397,2,5,8,9,1
398,2,5,8,9,0
399,1,0,2,9,0
400,1,1,0,6,0
401,1,2,2,9,0
402,2,3,8,9,0
403,1,1,2,9,0
404,2,3,8,9,0
405,1,0,2,9,1
406,2,4,6,6,0
407,1,1,0,6,1
408,2,5,6,6,0
409,1,1,1,7,0
410,1,2,0,0,0
411,2,4,8,9,0
412,2,3,8,2,0
413,1,2,0,6,1
414,2,4,6,0,1
415,1,2,2,9,0
416,1,0,2,9,1
417,1,0,2,9,0
418,2,5,8,9,0
419,1,1,0,6,0
420,1,0,2,9,0
421,2,5,6,6,1
422,1,2,2,2,0
423,1,2,2,9,0
424,2,3,8,9,0
425,2,3,8,2,0
426,2,4,6,6,0
427,1,2,2,2,0
428,1,1,1,7,1
429,2,4,6,6,0
430,1,0,2,9,1
431,1,1,0,6,0
432,2,4,8,9,0
433,1,0,1,2,0
434,1,1,2,9,0
435,1,1,0,6,0
436,1,0,2,9,0
437,1,2,0,6,1
438,1,2,0,6,0
439,2,3,8,9,0
440,2,5,7,7,0
441,1,1,1,2,1
442,1,0,0,6,0
443,2,3,8,9,1
444,1,2,2,2,1
445,1,0,0,6,0
446,1,1,2,2,0
447,1,2,2,9,1
448,2,3,6,6,0
449,2,5,8,2,0
450,2,5,8,9,1
451,2,4,8,9,0
452,1,0,2,9,0
453,1,0,0,6,0
454,1,2,2,2,0
455,1,1,0,0,0
456,2,4,6,6,0
457,2,4,6,6,0
458,1,2,2,9,1
459,1,1,2,9,0
460,2,4,6,6,0
461,1,1,0,0,0
462,1,1,2,2,0
463,1,0,0,6,0
464,1,2,2,9,0
465,2,5,8,9,1
466,2,4,8,9,0
467,1,0,2,9,0
468,2,5,8,9,0
469,2,4,8,9,1
470,2,5,6,6,0
471,2,3,8,9,0
472,2,3,8,9,0
473,1,2,2,9,0
474,2,5,8,2,0
475,2,5,8,9,0
476,2,5,8,9,1
477,2,3,8,9,0
478,2,5,8,9,0
479,2,5,6,6,0
480,1,1,2,2,0
481,1,1,2,2,0
482,1,0,0,6,1
483,1,0,0,6,0
484,2,5,8,9,0
485,2,5,8,2,0
486,2,5,6,0,0
487,1,0,0,0,0
488,2,3,8,9,1
489,2,5,8,9,1
490,2,3,6,0,0
491,2,4,8,9,0
492,2,5,7,7,0
493,2,3,8,9,0
494,2,4,8,9,0
495,1,0,2,9,1
496,1,1,2,9,1
497,1,0,2,2,0
498,1,2,2,9,0
499,1,2,0,6,0
500,2,3,8,9,0
501,1,0,2,9,1
502,2,4,6,6,0
503,2,5,8,9,0
504,1,1,0,6,0
505,2,4,6,6,0
506,1,0,0,6,0
507,1,1,2,2,1
508,2,5,8,9,0
509,1,1,2,9,0
510,1,1,0,6,1
511,2,3,8,9,0
512,1,0,2,9,0
513,1,0,2,9,0
514,2,3,8,9,0
515,1,2,1,7,0
516,2,4,6,0,0
517,1,2,2,9,1
518,2,3,8,9,1
519,2,3,6,6,0
520,2,4,6,6,0
521,1,2,2,9,0
522,1,2,0,6,0
523,1,0,0,0,0
524,2,3,8,2,0
525,1,0,2,9,1
526,1,0,2,9,0
527,1,1,2,2,0
528,1,2,0,0,0
529,2,3,8,2,0
530,1,0,2,9,0
531,2,3,6,0,0
532,1,1,0,6,0
533,2,4,6,6,0
534,1,0,2,9,0
535,2,4,6,6,0
536,2,3,8,9,0
537,1,1,2,2,0
538,2,4,6,6,0
539,2,5,6,6,0
540,2,5,6,0,0
541,2,5,8,2,0
542,1,1,0,6,0
543,1,2,2,9,0
544,2,3,6,6,0
545,1,0,2,9,0
546,1,0,0,6,0
547,2,5,7,7,0
548,2,5,8,9,0
549,1,1,2,2,0
550,2,4,8,9,0
551,2,5,8,9,0
552,2,5,8,9,1
553,2,5,8,9,0
554,1,1,2,9,0
555,1,2,0,0,0
556,2,3,8,9,1
557,2,4,8,9,0
558,1,1,0,6,0
559,2,4,8,9,0
560,1,0,0,0,0
561,2,3,6,6,0
562,1,2,0,6,0
563,1,2,2,2,0
564,2,5,8,9,0
565,1,2,2,9,1
566,2,4,8,2,0
567,2,4,6,0,1
568,1,2,2,9,1
569,1,1,2,9,0
570,2,5,8,9,0
571,1,2,0,6,0
572,1,1,1,7,0
573,1,0,0,0,1
574,2,4,6,0,0
575,1,2,0,6,0
576,1,0,2,2,1
577,2,5,8,9,0
578,1,2,0,0,0
579,2,4,8,9,0
580,1,2,2,9,1
581,1,2,2,2,1
582,2,3,8,2,0
583,2,5,6,6,0
584,2,4,8,9,0
585,1,1,2,2,0
586,2,3,8,9,0
587,2,3,8,9,0
588,1,0,2,9,0
589,2,5,6,6,0
590,2,3,8,9,1
591,2,5,6,6,0
592,1,0,1,7,0
593,2,3,8,9,0
594,2,3,8,2,0
595,2,4,8,9,0
596,2,4,8,9,0
597,1,1,2,9,0
598,1,0,2,2,0
599,2,3,6,6,0
600,2,5,8,9,0
601,2,5,6,6,0
602,2,5,8,9,0
603,2,5,8,9,0
604,1,0,0,6,1
605,2,3,6,6,0
606,1,0,0,6,1
607,2,3,6,6,0
608,2,3,7,7,0
609,1,0,2,9,1
610,2,3,8,9,0
611,2,5,6,6,0
612,1,1,2,2,0
613,2,3,8,2,0
614,1,0,2,9,0
615,2,5,8,2,0
616,1,1,2,9,0
617,2,3,6,6,0
618,1,1,0,6,0
619,2,5,8,9,0
620,1,2,2,9,1
621,2,4,7,2,0
622,1,2,0,6,0
623,2,3,8,9,0
624,1,0,0,6,0
625,1,0,2,9,0
626,1,1,1,7,0
627,2,5,8,9,0
628,2,3,8,9,0
629,2,3,8,9,0
630,2,5,8,9,0
631,1,2,2,2,0
632,2,3,6,6,0
633,1,2,0,6,0
634,2,3,8,2,0
635,1,0,2,9,0
636,2,4,6,6,0
637,2,3,8,9,0
638,1,2,2,9,0
639,2,3,6,0,0
640,1,2,2,9,0
641,2,4,6,0,0
642,1,2,2,9,0
643,2,5,7,2,0
644,1,0,1,7,1
645,1,0,0,6,0
646,1,0,2,9,0
647,2,3,8,2,1
648,1,0,0,6,0
649,2,4,6,0,0
650,1,1,2,9,0
651,2,4,8,9,1
652,2,5,8,2,0
653,1,1,0,0,0
654,2,3,6,0,0
655,1,1,2,9,0
656,1,0,0,6,0
657,2,3,8,9,0
658,1,1,0,6,0
659,1,1,0,6,0
660,2,5,8,9,0
661,2,3,6,6,0
662,1,1,2,9,1
663,2,4,6,6,0
664,2,4,6,6,0
665,1,1,0,6,0
666,1,2,0,6,0
667,2,4,8,9,0
668,1,2,1,7,0
669,2,3,6,0,0
670,2,3,8,9,0
671,1,0,2,2,0
672,2,5,8,9,0
673,2,4,6,0,0
674,1,0,0,6,1
675,2,3,6,6,0
676,1,2,2,9,0
677,1,1,0,6,0
678,2,4,8,9,0
679,1,1,0,0,0
680,1,2,0,6,1
681,2,5,8,2,0
682,2,5,6,6,0
683,2,5,6,6,0
684,2,3,8,2,0
685,1,1,1,2,0
686,1,2,0,0,0
687,2,3,8,9,1
688,1,0,0,6,0
689,2,3,8,2,1
690,1,0,0,6,0
691,1,1,2,9,0
692,1,0,2,2,0
693,2,4,6,0,1
694,1,1,1,7,1
695,1,0,2,9,0
696,1,0,2,9,1
697,1,1,0,6,1
698,2,4,7,7,0
699,2,5,6,0,0
700,1,1,2,9,1
701,2,3,6,6,0
702,2,5,8,9,0
703,2,3,8,2,1
704,2,4,8,9,1
705,1,1,2,9,0
706,2,4,6,6,0
707,1,0,2,9,0
708,2,5,8,9,0
709,1,1,2,2,0
710,2,3,8,9,1
711,2,3,7,7,0
712,1,1,2,2,0
713,2,5,8,2,0
714,2,5,8,9,0
715,1,1,0,0,0
716,2,4,8,9,0
717,2,3,6,6,0
718,1,0,2,9,1
719,1,2,2,2,1
720,1,2,0,0,0
721,1,2,2,2,0
722,2,5,6,6,0
723,2,4,8,9,0
724,1,2,0,6,0
725,1,0,2,9,0
726,1,0,2,9,1
727,2,4,8,9,0
728,1,2,2,9,0
729,1,2,2,9,0
730,1,1,0,0,0
731,2,5,8,9,0
732,2,5,8,9,0
733,1,0,0,6,0
734,2,4,8,9,0
735,1,0,1,2,1
736,1,1,1,7,0
737,2,3,8,9,1
738,2,5,7,7,0
739,2,4,7,2,0
740,2,4,8,9,1
741,2,3,7,7,0
742,1,1,0,0,0
743,2,5,7,7,1
744,1,0,2,2,1
745,1,0,2,9,0
746,2,3,8,2,0
747,2,4,8,9,1
748,2,3,6,6,0
749,2,3,8,9,0
750,2,3,6,6,0
751,1,2,0,6,0
752,2,3,6,6,0
753,1,2,0,0,0
754,1,2,0,0,0
755,2,5,7,7,0
756,2,4,8,9,0
757,2,3,6,6,0
758,2,5,7,7,0
759,2,3,6,6,0
760,2,4,6,0,0
761,1,0,2,9,0
762,2,4,6,6,0
763,1,1,0,6,1
764,1,2,2,9,0
765,1,2,0,0,0
766,2,4,6,0,0
767,1,1,2,9,1
768,2,3,8,9,0
769,1,2,2,2,0
770,2,3,7,7,0
771,1,1,0,6,0
772,2,5,8,9,0
773,1,0,2,9,1
774,2,4,8,9,0
775,2,5,6,0,0
776,2,3,6,0,1
777,2,3,6,6,0
778,1,1,0,6,1
779,2,5,6,0,0
780,1,2,2,9,0
781,1,1,0,6,0
782,2,5,8,9,0
783,1,1,2,9,0
784,1,2,0,6,0
785,2,4,8,9,0
786,2,5,8,9,0
787,2,3,8,9,0
788,1,1,0,6,0
789,2,5,6,6,0
790,2,5,7,7,0
791,2,5,8,9,0
792,2,3,8,9,0
793,1,2,1,7,0
794,1,1,2,2,0
795,1,0,0,6,0
796,1,1,0,6,0
797,1,0,0,0,0
798,2,4,8,2,0
799,2,4,8,9,0
800,2,3,8,9,0
801,2,5,8,2,0
802,1,0,2,9,0
803,2,3,6,6,0
804,1,2,0,0,0
805,1,1,2,9,0
806,2,4,7,7,0
807,1,1,2,9,0
808,1,0,2,9,1
809,2,5,6,6,0
810,1,2,0,6,0
811,2,5,8,2,0
812,1,0,2,9,0
813,2,4,8,9,0
814,2,3,7,2,1
815,1,2,2,9,0
816,2,4,7,2,0
817,2,4,8,9,1
818,2,5,6,6,0
819,1,0,2,9,1
820,2,5,6,6,0
821,2,5,6,0,0
822,1,2,1,2,0
823,2,3,8,2,0
824,1,0,2,9,1
825,2,3,8,9,0
826,1,2,1,7,0
827,2,4,8,9,0
828,1,1,0,6,0
829,2,5,8,9,0
830,1,0,0,6,0
831,1,2,2,9,0
832,2,3,7,7,0
833,1,0,2,9,0
834,1,2,2,9,0
835,2,4,8,9,1
836,2,3,7,7,0
837,1,1,0,6,0
838,1,0,1,7,0
839,1,0,0,0,0
840,1,0,0,0,0
841,1,1,2,9,0
842,2,5,8,9,0
843,2,3,6,6,0
844,2,5,6,0,0
845,1,1,0,6,0
846,2,3,8,2,0
847,2,3,8,9,0
848,2,3,8,2,0
849,1,2,0,6,0
850,2,5,8,9,0
851,2,3,8,2,1
852,2,3,6,6,0
853,1,1,2,9,0
854,1,0,2,9,1
855,2,4,6,6,0
856,1,1,0,6,0
857,1,2,2,9,1
858,1,0,0,6,1
859,2,3,8,9,0
860,2,4,6,6,0
861,1,1,2,9,0
862,2,5,8,9,0
863,2,5,6,6,0
864,2,4,8,2,0
865,1,0,1,7,1
866,1,2,2,2,0
867,1,1,0,6,0
868,1,0,2,9,0
869,2,4,8,2,1
870,2,4,8,9,0
871,1,1,0,6,0
872,2,5,8,2,1
873,2,3,6,6,0
874,1,1,2,9,0
875,2,5,6,0,0
876,2,3,6,0,0
877,2,3,6,6,1
878,2,3,8,9,1
879,2,5,6,6,0
880,1,1,2,9,1
881,1,1,0,6,0
882,1,2,2,9,0
883,2,4,8,2,0
884,1,0,2,9,0
885,2,4,6,0,0
886,2,5,8,2,0
887,2,4,8,2,0
888,2,3,6,6,1
889,1,1,2,9,0
890,1,2,0,6,0
891,2,5,8,9,1
892,1,1,2,9,0
893,2,3,7,7,0
894,2,5,8,9,0
895,1,0,2,9,0
896,1,1,2,2,0
897,2,5,8,9,0
898,2,5,8,9,1
899,2,4,8,9,0
900,2,4,6,0,0
901,2,5,8,9,0
902,1,1,2,9,1
903,1,0,1,7,0
904,2,3,6,0,0
905,1,0,2,9,1
906,2,5,6,6,0
907,2,3,8,9,0
908,2,3,8,2,0
909,2,5,7,7,0
910,1,0,2,9,0
911,2,4,8,9,0
912,2,4,6,6,0
913,2,3,8,2,0
914,1,1,1,7,0
915,1,2,0,6,0
916,2,3,8,9,0
917,1,0,2,2,0
918,2,4,8,9,1
919,1,0,0,0,0
920,2,3,8,9,0
921,1,1,2,2,0
922,1,1,2,9,1
923,2,4,8,2,1
924,2,3,8,9,0
925,1,2,0,0,1
926,2,5,8,2,0
927,2,5,8,9,0
928,2,4,6,6,0
929,2,4,6,6,0
930,1,0,2,2,0
931,1,0,0,6,0
932,2,3,8,9,0
933,1,1,0,0,0
934,2,5,6,0,0
935,1,2,0,6,0
936,2,3,8,9,0
937,1,1,2,2,0
938,2,4,8,9,0
939,2,5,6,0,1
940,2,3,8,9,1
941,2,4,6,0,0
942,1,2,1,7,0
943,1,1,1,7,0
944,2,3,7,7,0
945,1,2,2,9,0
946,1,0,2,9,0
947,1,0,0,0,0
948,1,0,2,2,0
949,2,4,6,0,0
950,2,4,8,9,0
951,1,1,2,9,0
952,2,4,6,6,0
953,2,3,6,6,0
954,2,5,6,0,0
955,1,2,2,2,0
956,2,5,8,9,1
957,1,2,2,9,1
958,1,2,0,0,0
959,1,2,2,2,0
960,2,4,8,2,1
961,1,1,0,0,0
962,2,5,6,6,0
963,1,0,2,9,0
964,1,1,2,9,1
965,2,3,6,0,0
966,2,3,8,2,0
967,2,5,8,9,0
968,1,1,0,6,1
969,1,1,2,9,1
970,1,0,2,9,0
971,1,2,2,2,0
972,2,3,8,9,0
973,1,2,0,0,0
974,1,2,0,6,0
975,2,4,6,0,0
976,2,4,8,2,0
977,2,3,7,2,0
978,2,5,6,0,0
979,2,5,8,9,0
980,2,5,8,9,0
981,2,4,7,2,0
982,2,3,8,9,0
983,1,2,2,9,0
984,1,1,2,9,0
985,1,0,0,6,0
986,2,3,6,6,0
987,1,0,2,2,1
988,2,3,6,0,0
989,1,2,0,0,0
990,1,0,0,0,1
991,1,1,0,0,0
992,2,3,7,7,0
993,2,3,6,0,0
994,1,1,2,9,1
995,1,0,2,9,0
996,2,4,8,9,0
997,1,0,2,9,0
998,1,0,2,2,1
999,2,4,6,6,0
1000,2,4,8,9,0
1001,1,1,0,6,0
1002,2,4,8,9,1
1003,1,0,2,9,1
1004,2,5,6,6,0
1005,1,1,2,9,0
1006,2,4,6,6,0
1007,1,1,0,6,1
1008,1,2,0,6,0
1009,2,4,8,9,0
1010,1,0,2,9,0
1011,2,4,6,0,0
1012,1,0,2,9,0
1013,1,1,0,6,0
1014,2,4,8,2,1
1015,1,1,2,9,0
1016,1,2,0,0,0
1017,2,5,8,9,0
1018,2,4,7,7,0
1019,2,4,6,0,0
1020,1,0,0,6,0
1021,2,4,8,9,0
1022,2,3,8,9,0
1023,1,1,2,9,0
1024,2,3,6,6,0
1025,1,1,0,6,0
1026,2,5,8,9,0
1027,2,5,6,6,0
1028,1,1,0,6,1
1029,2,4,6,6,0
1030,2,5,6,0,0
1031,2,5,8,9,0
1032,2,3,6,6,1
1033,1,0,2,2,1
1034,1,2,2,9,0
1035,2,5,6,6,1
1036,1,1,2,9,0
1037,1,2,2,9,0
1038,2,5,7,7,1
1039,2,4,6,0,0
1040,2,4,8,2,0
1041,1,0,0,6,0
1042,2,4,6,0,0
1043,1,1,2,2,0
1044,2,5,6,0,1
1045,1,2,2,9,0
1046,2,3,6,6,0
1047,1,2,2,9,0
1048,1,1,2,9,0
1049,1,1,2,9,0
1050,2,4,8,2,0
1051,2,4,8,9,0
1052,2,4,6,6,0
1053,1,2,2,9,0
1054,1,0,2,9,0
1055,2,5,6,6,0
1056,1,0,2,9,0
1057,1,2,2,9,0
1058,2,3,8,2,0
1059,2,4,8,2,0
1060,1,2,2,9,0
1061,2,3,6,0,0
1062,1,2,2,9,0
1063,1,2,0,0,0
1064,1,0,2,9,0
1065,1,2,2,2,1
1066,1,2,0,6,0
1067,2,5,7,7,0
1068,2,4,8,9,0
1069,1,1,0,6,0
1070,2,5,6,6,0
1071,1,1,0,0,0
1072,1,2,2,9,0
1073,2,5,8,9,0
1074,2,4,8,9,0
1075,2,4,8,9,0
1076,2,3,7,7,0
1077,2,5,8,9,0
1078,1,1,2,9,1
1079,2,4,6,6,1
1080,1,1,0,6,0
1081,2,5,8,9,0
1082,2,3,8,9,0
1083,1,0,2,9,1
1084,1,2,0,6,1
1085,1,1,0,6,0
1086,1,1,2,9,0
1087,2,4,6,6,0
1088,2,3,8,9,0
1089,1,0,2,2,1
1090,1,1,2,9,1
1091,2,4,8,9,0
1092,2,3,8,9,0
1093,2,4,8,9,0
1094,2,3,6,6,0
1095,2,5,8,9,0
1096,2,5,8,2,0
1097,1,2,0,6,0
1098,1,2,2,9,0
1099,1,1,0,0,0
1100,2,3,8,9,0
1101,2,4,6,0,0
1102,2,3,8,2,0
1103,2,3,8,9,0
1104,1,0,2,2,0
1105,2,5,6,6,0
1106,2,5,6,0,0
1107,1,1,0,6,0
1108,2,4,8,9,0
1109,1,1,2,9,0
1110,2,3,8,9,0
1111,1,1,0,6,0
1112,2,3,8,9,0
1113,1,2,0,6,0
1114,2,3,8,9,0
1115,2,5,6,6,0
1116,2,3,8,9,0
1117,2,3,6,6,1
1118,2,4,8,9,0
1119,1,0,2,9,0
1120,1,1,2,2,0
1121,2,3,6,0,0
1122,2,4,6,6,0
1123,1,0,2,2,0
1124,1,1,2,9,1
1125,1,1,2,9,0
1126,2,5,6,6,0
1127,2,5,8,9,0
1128,2,4,8,9,1
1129,2,4,6,6,0
1130,2,3,8,9,0
1131,2,3,8,2,0
1132,1,2,2,9,1
1133,2,4,8,9,0
1134,2,5,8,2,0
1135,2,5,6,6,0
1136,2,3,6,6,0
1137,2,3,8,9,0
1138,1,2,2,9,0
1139,2,4,6,0,0
1140,2,5,8,9,0
1141,2,5,8,9,0
1142,1,2,2,2,0
1143,1,2,2,9,0
1144,2,3,7,2,1
1145,2,3,8,2,0
1146,2,3,8,2,0
